Day,Record_High
1/1/2023,62
1/2/2023,68
1/3/2023,64
1/4/2023,66
1/5/2023,64
1/6/2023,72
1/7/2023,64
1/8/2023,65
1/9/2023,64
1/10/2023,60
1/11/2023,69
1/12/2023,68
1/13/2023,68
1/14/2023,70
1/15/2023,67
1/16/2023,58
1/17/2023,63
1/18/2023,66
1/19/2023,64
1/20/2023,62
1/21/2023,63
1/22/2023,61
1/23/2023,63
1/24/2023,68
1/25/2023,60
1/26/2023,72
1/27/2023,69
1/28/2023,66
1/29/2023,69
1/30/2023,64
1/31/2023,63
2/1/2023,67
2/2/2023,59
2/3/2023,64
2/4/2023,68
2/5/2023,70
2/6/2023,68
2/7/2023,56
2/8/2023,62
2/9/2023,63
2/10/2023,61
2/11/2023,65
2/12/2023,62
2/13/2023,64
2/14/2023,63
2/15/2023,73
2/16/2023,71
2/17/2023,68
2/18/2023,68
2/19/2023,66
2/20/2023,69
2/21/2023,78
2/22/2023,69
2/23/2023,72
2/24/2023,75
2/25/2023,75
2/26/2023,65
2/27/2023,72
2/28/2023,67
3/1/2023,73
3/2/2023,72
3/3/2023,65
3/4/2023,70
3/5/2023,72
3/6/2023,68
3/7/2023,74
3/8/2023,76
3/9/2023,77
3/10/2023,79
3/11/2023,73
3/12/2023,71
3/13/2023,85
3/14/2023,75
3/15/2023,77
3/16/2023,82
3/17/2023,75
3/18/2023,77
3/19/2023,76
3/20/2023,83
3/21/2023,84
3/22/2023,78
3/23/2023,76
3/24/2023,76
3/25/2023,79
3/26/2023,82
3/27/2023,83
3/28/2023,84
3/29/2023,86
3/30/2023,82
3/31/2023,86
4/1/2023,83
4/2/2023,81
4/3/2023,81
4/4/2023,80
4/5/2023,80
4/6/2023,80
4/7/2023,92
4/8/2023,90
4/9/2023,86
4/10/2023,86
4/11/2023,84
4/12/2023,90
4/13/2023,90
4/14/2023,91
4/15/2023,87
4/16/2023,92
4/17/2023,96
4/18/2023,96
4/19/2023,92
4/20/2023,90
4/21/2023,87
4/22/2023,86
4/23/2023,86
4/24/2023,87
4/25/2023,91
4/26/2023,92
4/27/2023,92
4/28/2023,90
4/29/2023,89
4/30/2023,91
5/1/2023,87
5/2/2023,90
5/3/2023,92
5/4/2023,92
5/5/2023,90
5/6/2023,92
5/7/2023,93
5/8/2023,91
5/9/2023,94
5/10/2023,94
5/11/2023,92
5/12/2023,93
5/13/2023,89
5/14/2023,88
5/15/2023,90
5/16/2023,90
5/17/2023,92
5/18/2023,92
5/19/2023,99
5/20/2023,96
5/21/2023,93
5/22/2023,96
5/23/2023,94
5/24/2023,93
5/25/2023,95
5/26/2023,95
5/27/2023,96
5/28/2023,94
5/29/2023,97
5/30/2023,97
5/31/2023,96
6/1/2023,96
6/2/2023,96
6/3/2023,95
6/4/2023,99
6/5/2023,99
6/6/2023,98
6/7/2023,96
